county_fips,state,name,dc_share_mid,prop_tax_2017_M,v2_has_anydata,v2_has_gf,v2_has_pt_gf,v2_has_pt_af,v2_has_pt_any,our_acfr_pdf,our_acfr_pdf_has_pt
21127,KY,Lawrence County,191.01466992665036,6.5440000000000005,True,True,False,False,False,True,False
41049,OR,Morrow County,185.57120153749491,27.057,True,True,True,True,True,True,True
48125,TX,Dickens County,181.12296236667336,4.969,False,False,False,False,False,True,True
32029,NV,Storey County,176.0352824347217,17.119,True,True,False,False,False,True,True
48331,TX,Milam County,156.77197043427938,38.017,True,True,True,True,True,False,False
38021,ND,Dickey County,145.29124290054153,15.142,True,True,False,False,False,True,True
37069,NC,Franklin County,131.23359580052494,19.05,True,True,True,True,True,True,True
13075,GA,Cook County,122.4600870827286,11.024,True,True,False,False,False,True,False
48275,TX,Knox County,114.81532715451654,7.229,False,False,False,False,False,False,False
41013,OR,Crook County,81.23366440146368,24.869,True,True,True,True,True,True,True
48103,TX,Crane County,73.80851961197807,18.968,False,False,False,False,False,True,True
40097,OK,Mayes County,55.519546112663726,29.699,False,False,False,False,False,True,False
53051,WA,Pend Oreille County,52.76487969607429,9.476,False,False,False,False,False,True,False
13303,GA,Washington County,52.25004707211448,21.244,True,True,True,True,True,True,False
48475,TX,Ward County,51.25160539898708,41.267,False,False,False,False,False,True,True
35061,NM,Valencia County,48.91535516801361,42.318,True,True,True,True,True,True,True
51117,VA,Mecklenburg County,48.65045405571803,32.485,True,True,True,True,True,True,True
48371,TX,Pecos County,47.20834362354908,52.639,True,True,True,True,True,True,True
41059,OR,Umatilla County,45.25354147939968,87.887,False,False,False,False,False,True,True
21157,KY,Marshall County,43.10344827586207,22.619999999999997,False,False,False,False,False,True,False
48173,TX,Glasscock County,37.642098923435974,26.566,False,False,False,False,False,True,True
13317,GA,Wilkes County,37.01029066618523,11.078,True,True,True,True,True,True,True
48045,TX,Briscoe County,36.69455452810803,6.813,False,False,False,False,False,True,True
53025,WA,Grant County,36.11437782434051,103.564,False,False,False,False,False,True,False
37039,NC,Cherokee County,34.48808359499665,19.427,True,True,True,True,True,True,True
47121,TN,Meigs County,27.647221454243848,3.617,True,True,False,False,False,False,False
38093,ND,Stutsman County,26.83050122487071,25.717,True,True,False,False,False,False,False
48075,TX,Childress County,26.533018867924525,8.48,False,False,False,False,False,False,False
38105,ND,Williams County,26.3840640253287,90.964,True,True,False,False,False,False,False
54047,WV,McDowell County,25.948564179448734,17.342,True,True,True,True,True,False,False
47151,TN,Scott County,25.451768897938408,7.858,True,True,False,False,False,False,False
48349,TX,Navarro County,24.859543578779896,80.452,True,True,True,True,True,False,False
01071,AL,Jackson County,23.7093236915417,16.871,True,True,False,False,False,False,False
40101,OK,Muskogee County,23.515579071134628,42.525,False,False,False,False,False,False,False
41065,OR,Wasco County,22.650569770228177,37.559,True,True,True,True,True,False,False
13097,GA,Douglas County,22.06043618828429,127.743,False,False,False,False,False,False,False
39111,OH,Monroe County,20.9564524917222,23.859,True,True,True,True,True,False,False
46119,SD,Sully County,20.764119601328904,7.224,False,False,False,False,False,False,False
51107,VA,Loudoun County,20.52984760214651,1154.616,True,True,True,True,True,False,False
13313,GA,Whitfield County,20.040374529541456,89.806,True,True,False,False,False,False,False
39089,OH,Licking County,18.301302154030505,213.646,False,False,False,False,False,False,False
19155,IA,Pottawattamie County,17.399290656433514,171.98999999999998,True,True,True,True,True,False,False
48109,TX,Culberson County,17.295338494481964,18.213,True,True,True,True,True,False,False
37161,NC,Rutherford County,17.175881021661816,49.48800000000001,True,True,True,True,True,False,False
48221,TX,Hood County,16.820871097683785,95.328,True,True,True,True,True,False,False
18153,IN,Sullivan County,16.203573240151044,35.486000000000004,False,False,False,False,False,False,False
21109,KY,Jackson County,14.762762422864563,3.079,False,False,False,False,False,False,False
56021,WY,Laramie County,14.169422849262238,81.937,True,True,False,False,False,False,False
37027,NC,Caldwell County,13.420082558988907,58.867,True,True,True,True,True,False,False
31153,NE,Sarpy County,12.193604298100604,237.128,True,True,False,False,False,False,False
13217,GA,Newton County,11.777869383428538,84.905,False,False,False,False,False,False,False
53017,WA,Douglas County,11.604455147501504,36.542,False,False,False,False,False,False,False
51153,VA,Prince William County,11.15486581167547,788.936,True,True,True,True,True,False,False
45015,SC,Berkeley County,10.8133258728273,173.402,False,False,False,False,False,False,False
30003,MT,Big Horn County,10.392674568844448,17.801000000000002,True,True,False,False,False,False,False
19181,IA,Warren County,10.357174562779274,67.586,True,True,True,True,True,False,False
01089,AL,Madison County,9.907528236511723,222.23,True,True,False,False,False,False,False
47173,TN,Union County,9.593614499788938,4.738,True,True,False,False,False,False,False
42007,PA,Beaver County,9.338332453973694,214.171,True,True,False,False,False,False,False
42121,PA,Venango County,9.1552734375,49.152,True,True,True,True,True,False,False
17037,IL,DeKalb County,9.12095365920538,207.873,True,True,False,False,False,False,False
47035,TN,Cumberland County,8.673779165582445,23.058,True,True,False,False,False,False,False
30093,MT,Silver Bow County,8.585557946792436,43.678,False,False,False,False,False,False,False
21035,KY,Calloway County,8.459827902929517,20.686,False,False,False,False,False,False,False
19049,IA,Dallas County,8.009212542274215,144.296,True,True,True,True,True,False,False
38035,ND,Grand Forks County,7.882992141263219,82.456,True,True,False,False,False,False,False
21225,KY,Union County,7.331378299120235,8.866,False,False,False,False,False,False,False
47025,TN,Claiborne County,7.2811999417504,13.734,True,True,False,False,False,False,False
48325,TX,Medina County,6.740975945573824,61.735,True,True,True,True,True,False,False
47013,TN,Campbell County,6.175889328063241,16.192,True,True,False,False,False,False,False
39159,OH,Union County,6.124032062710088,73.481,False,False,False,False,False,False,False
48441,TX,Taylor County,6.0952949562271925,164.143,True,True,True,True,True,False,False
31019,NE,Buffalo County,5.798916762348793,86.223,True,True,True,True,True,False,False
39063,OH,Hancock County,5.744045339664548,78.342,True,True,True,True,True,False,False
28089,MS,Madison County,5.241079849104056,152.688,False,False,False,False,False,False,False
47107,TN,McMinn County,5.00175061271445,19.993,True,True,False,False,False,False,False
47165,TN,Sumner County,4.924167815639157,121.848,True,True,False,False,False,False,False
21195,KY,Pike County,4.87653148921364,34.488,True,True,False,False,False,False,False
48067,TX,Cass County,4.643603436266543,43.07,True,True,False,False,False,False,False
48135,TX,Ector County,4.12483709882472,250.919,True,True,False,False,False,False,False
47125,TN,Montgomery County,4.037522038141125,148.606,True,True,False,False,False,False,False
48139,TX,Ellis County,3.993287604835275,272.332,True,True,False,False,False,False,False
51087,VA,Henrico County,3.934418010237838,402.038,True,True,True,True,True,False,False
48389,TX,Reeves County,3.849885273418853,64.937,False,False,False,False,False,False,False
36063,NY,Niagara County,3.8020581235160513,349.153,True,True,True,True,True,False,False
19153,IA,Polk County,3.7627371525351214,963.011,True,True,True,True,True,False,False
51047,VA,Culpeper County,3.594595100347747,64.127,True,True,True,True,True,False,False
48355,TX,Nueces County,3.387128010727732,620.448,True,True,True,True,True,False,False
31081,NE,Hamilton County,3.207706965911497,23.615,False,False,False,False,False,False,False
39045,OH,Fairfield County,2.9794359331891287,167.817,False,False,False,False,False,False,False
48003,TX,Andrews County,2.9254478860713578,85.457,False,False,False,False,False,False,False
37035,NC,Catawba County,2.8976045450441377,143.981,True,True,True,True,True,False,False
51193,VA,Westmoreland County,2.8390271600264976,21.134,True,True,True,True,True,False,False
41067,OR,Washington County,2.7842803098217805,948.158,True,True,False,False,False,False,False
26027,MI,Cass County,2.753826869753485,52.654,True,True,False,False,False,False,False
47105,TN,Loudon County,2.7485364043646756,36.383,True,True,False,False,False,False,False
21145,KY,McCracken County,2.658590715738857,43.256,True,True,False,False,False,False,False
04013,AZ,Maricopa County,2.413662077136343,4231.624,True,True,False,False,False,False,False
13145,GA,Harris County,2.214559144547439,31.609,True,True,False,False,False,False,False
32031,NV,Washoe County,2.1604346979189972,446.9,True,True,True,True,True,False,False
42079,PA,Luzerne County,2.125738694196233,399.861,False,False,False,False,False,False,False
18141,IN,St. Joseph County,2.0459612252068093,313.09000000000003,True,True,False,False,False,False,False
49049,UT,Utah County,1.935542262503631,475.102,True,True,True,True,True,False,False
45087,SC,Union County,1.884264299472406,23.882,True,True,True,True,True,False,False
48461,TX,Upton County,1.843567179588024,40.682,False,False,False,False,False,False,False
19083,IA,Hardin County,1.690821256038647,30.015,True,True,True,True,True,False,False
29047,MO,Clay County,1.6484589834832586,286.921,True,True,False,False,False,False,False
55101,WI,Racine County,1.571783345383672,286.29900000000004,True,True,False,False,False,False,False
48277,TX,Lamar County,1.518925815663163,65.836,True,True,True,True,True,False,False
18127,IN,Porter County,1.4997825315329278,200.029,True,True,True,True,True,False,False
19075,IA,Grundy County,1.4742014864864867,18.5,True,True,True,True,True,False,False
39049,OH,Franklin County,1.427854361842574,2203.461,False,False,False,False,False,False,False
45083,SC,Spartanburg County,1.4239724489031969,333.925,True,True,False,False,False,False,False
36089,NY,St. Lawrence County,1.4095942623875144,177.356,True,True,True,True,True,False,False
01075,AL,Lamar County,1.3628929674722878,5.503,False,False,False,False,False,False,False
08085,CO,Montrose County,1.339369424874769,37.331,True,True,False,False,False,False,False
47113,TN,Madison County,1.2523892213324672,80.047,True,True,False,False,False,False,False
51061,VA,Fauquier County,1.2205628740779386,138.006,True,True,True,True,True,False,False
13121,GA,Fulton County,1.214393113385171,2070.306,True,True,False,False,False,False,False
13157,GA,Jackson County,1.1572139431422217,77.773,True,True,False,False,False,False,False
13285,GA,Troup County,1.1239563262684649,62.28,True,True,True,True,True,False,False
16001,ID,Ada County,1.0514802362634952,501.474,True,True,False,False,False,False,False
32003,NV,Clark County,1.045933048172918,1861.876,True,True,False,False,False,False,False
49035,UT,Salt Lake County,1.0168277761912548,1327.151,False,False,False,False,False,False,False
45091,SC,York County,1.0142862708213911,359.366,True,True,True,True,True,False,False
