treated_fips,state,division,tier,n_ctrl,cagr_treated,cagr_ctrl_mean,effect
01071,01,East South Central,CENSUS_TRUST,3,0.0310137343429051,0.08097872151229793,-0.04996498716939283
01075,01,East South Central,PRIMARY,3,0.0477628516388928,0.08097872151229793,-0.03321586987340513
01089,01,East South Central,CENSUS_TRUST,3,0.0998634789538377,0.08218085429573106,0.017682624658106633
04013,04,Mountain,CENSUS_TRUST,3,0.0422341779583521,0.050370039364486835,-0.008135861406134738
08085,08,Mountain,PRIMARY,3,0.0590433803579444,0.030374910390924933,0.02866846996701947
13075,13,South Atlantic,CENSUS_TRUST,3,0.2051917187756515,0.0354191480397013,0.1697725707359502
13097,13,South Atlantic,CENSUS_TRUST,3,0.1596308777857558,0.05974552711362937,0.09988535067212642
13121,13,South Atlantic,PRIMARY,3,0.045981498106876,0.0608025905732012,-0.014821092466325202
13145,13,South Atlantic,PRIMARY,3,0.1196383930799704,0.0707401268462497,0.048898266233720705
13157,13,South Atlantic,PRIMARY,3,0.0848152844687459,0.05974552711362937,0.025069757355116525
13217,13,South Atlantic,CENSUS_TRUST,3,0.0808412177908799,0.05974552711362937,0.021095690677250527
13285,13,South Atlantic,PRIMARY,3,0.0469703699569334,0.05974552711362937,-0.012775157156695971
13303,13,South Atlantic,PRIMARY,3,0.0044943120437488,0.0707401268462497,-0.0662458148025009
13313,13,South Atlantic,CENSUS_TRUST,3,0.0315517143676649,0.05974552711362937,-0.02819381274596447
13317,13,South Atlantic,PRIMARY,3,-0.0020121629265054,0.0354191480397013,-0.0374313109662067
16001,16,Mountain,CENSUS_TRUST,3,0.0537689697282894,0.05249002762329977,0.0012789421049896332
17037,17,East North Central,CENSUS_TRUST,3,0.0166114897806881,0.02843931403215283,-0.011827824251464728
18127,18,East North Central,CENSUS_TRUST,3,0.0420825697141147,0.033408019341378735,0.008674550372735963
18141,18,East North Central,CENSUS_TRUST,3,0.0316337052518715,2.0823666526129103e-05,0.03161288158534537
19049,19,West North Central,PRIMARY,3,0.0545986758790983,0.016613245385232667,0.03798543049386563
19075,19,West North Central,CENSUS_TRUST,3,0.0620807784998489,0.025497658520403668,0.03658311997944523
19083,19,West North Central,EXPANDED,3,0.0404283835561254,0.025497658520403668,0.014930725035721733
19153,19,West North Central,PRIMARY,3,0.045967946795312,0.016613245385232667,0.029354701410079332
19155,19,West North Central,PRIMARY,3,0.0184147082114238,0.016613245385232667,0.001801462826191133
19181,19,West North Central,EXPANDED,3,0.0495247462349153,0.016613245385232667,0.032911500849682626
26027,26,East North Central,EXPANDED,3,0.0207010256173909,0.016526521013052766,0.004174504604338134
28089,28,East South Central,PRIMARY,3,0.0288126008446441,0.03514292779376684,-0.006330326949122743
31019,31,West North Central,CENSUS_TRUST,3,0.0725962372020865,0.01703066554951148,0.055565571652575016
31081,31,West North Central,PRIMARY,3,0.0480206145839878,0.018905298811621046,0.029115315772366753
31153,31,West North Central,CENSUS_TRUST,3,0.0811346905660344,0.02102837487648281,0.06010631568955159
32003,32,Mountain,PRIMARY,3,0.0801613675650212,0.04252286712490163,0.037638500440119564
32029,32,Mountain,PRIMARY,3,0.0982538032020354,0.030374910390924933,0.06787889281111047
32031,32,Mountain,EXPANDED,3,0.1725973102661178,0.04252286712490163,0.13007444314121616
35061,35,Mountain,PRIMARY,3,0.0525170665995298,0.025581662559006634,0.026935404040523168
36063,36,Middle Atlantic,EXPANDED,3,0.0320183800154343,0.0047950036749016,0.0272233763405327
36089,36,Middle Atlantic,EXPANDED,3,0.0154483736062653,0.017298577688664735,-0.0018502040823994356
37027,37,South Atlantic,PRIMARY,3,0.0419938133683686,0.0479911572452368,-0.005997343876868205
37035,37,South Atlantic,PRIMARY,3,0.0407185907729152,0.05692576801505946,-0.01620717724214426
37039,37,South Atlantic,PRIMARY,3,0.0335719206050526,0.07923505722676984,-0.04566313662171723
37069,37,South Atlantic,PRIMARY,3,0.0499621666363101,0.0479911572452368,0.0019710093910732945
37161,37,South Atlantic,PRIMARY,3,0.0437729548862888,0.04179307459616057,0.0019798802901282303
38021,38,West North Central,CENSUS_TRUST,3,-0.0172277393960872,-0.0552481153312852,0.038020375935198
38035,38,West North Central,CENSUS_TRUST,3,0.0130162953751236,0.008999887736874166,0.004016407638249434
38093,38,West North Central,CENSUS_TRUST,3,-0.0074400799487144,-0.016616498514624035,0.009176418565909634
39045,39,East North Central,CENSUS_TRUST,3,0.1070181710003885,0.023064328312883565,0.08395384268750494
39049,39,East North Central,PRIMARY,3,0.0350933882435802,0.028157088282925135,0.006936299960655066
39063,39,East North Central,EXPANDED,3,0.0577512017612886,0.023064328312883565,0.03468687344840503
39089,39,East North Central,CENSUS_TRUST,3,0.0561972199195595,0.023064328312883565,0.03313289160667593
39159,39,East North Central,CENSUS_TRUST,3,0.0280884238877499,0.023064328312883565,0.005024095574866334
41013,41,Pacific,PRIMARY,3,0.093825524906534,0.07225127514492584,0.021574249761608155
41049,41,Pacific,PRIMARY,3,0.0867844743902859,0.035128419947738465,0.051656054442547436
41059,41,Pacific,PRIMARY,3,0.055657603876847,0.040666532882397965,0.014991070994449032
41065,41,Pacific,CENSUS_TRUST,3,-0.0344213633039086,0.043140466229034564,-0.07756182953294316
41067,41,Pacific,PRIMARY,3,0.0481691103297667,0.040922906763181804,0.007246203566584897
42007,42,Middle Atlantic,CENSUS_TRUST,3,0.0297688294996101,0.024506642674525698,0.005262186825084402
42079,42,Middle Atlantic,PRIMARY,3,0.0158531703258508,0.024506642674525698,-0.008653472348674897
42121,42,Middle Atlantic,PRIMARY,3,0.0032112318648751,0.024506642674525698,-0.021295410809650597
45015,45,South Atlantic,CENSUS_TRUST,3,0.0910109632571869,0.03417433061221016,0.05683663264497674
45083,45,South Atlantic,PRIMARY,3,0.0708927879417993,0.04653715610571547,0.024355631836083837
45087,45,South Atlantic,EXPANDED,3,0.0226141635871162,0.03417433061221016,-0.011560167025093961
45091,45,South Atlantic,PRIMARY,3,0.0753421926579662,0.04653715610571547,0.02880503655225073
46119,46,West North Central,PRIMARY,3,0.0326547518400082,-0.03929021705358635,0.07194496889359456
47013,47,East South Central,PRIMARY,3,0.0473746228977385,0.057169459874680695,-0.009794836976942195
47025,47,East South Central,PRIMARY,3,0.052616584140517,0.046201094501575134,0.006415489638941868
47035,47,East South Central,PRIMARY,3,0.0920784220143338,0.057169459874680695,0.03490896213965311
47105,47,East South Central,PRIMARY,3,0.0276484313397984,0.057169459874680695,-0.029521028534882296
47107,47,East South Central,EXPANDED,3,0.0594995905627222,0.057169459874680695,0.0023301306880415054
47113,47,East South Central,PRIMARY,3,0.0337891568336985,0.0424145479904299,-0.008625391156731402
47121,47,East South Central,PRIMARY,3,0.0245837515060911,0.046201094501575134,-0.021617342995484033
47125,47,East South Central,PRIMARY,3,0.0781691324759625,0.0424145479904299,0.03575458448553259
47151,47,East South Central,PRIMARY,3,0.0384109581414155,0.046201094501575134,-0.007790136360159634
47165,47,East South Central,PRIMARY,3,0.0802622170819411,0.0424145479904299,0.0378476690915112
47173,47,East South Central,PRIMARY,3,0.076238912586442,0.046201094501575134,0.030037818084866864
48067,48,West South Central,PRIMARY,3,0.0150389211038839,0.024503717296753536,-0.009464796192869636
48109,48,West South Central,EXPANDED,3,0.109056580344673,0.047309159140728835,0.061747421203944164
48125,48,West South Central,PRIMARY,3,0.0857461035576221,0.047309159140728835,0.03843694441689327
48135,48,West South Central,CENSUS_TRUST,3,0.0370721442813222,0.07800284464542717,-0.04093070036410497
48139,48,West South Central,CENSUS_TRUST,3,0.1464379384864511,0.0762296108599869,0.07020832762646419
48221,48,West South Central,CENSUS_TRUST,3,0.1329914637032108,0.048918586992092596,0.08407287671111821
48277,48,West South Central,CENSUS_TRUST,3,0.0578496304753584,0.05687827309251877,0.0009713573828396271
48325,48,West South Central,EXPANDED,3,0.0825649826345626,0.03791265395865077,0.04465232867591184
48331,48,West South Central,CENSUS_TRUST,3,0.0309677617848076,0.0888033652199391,-0.0578356034351315
48349,48,West South Central,EXPANDED,3,0.0608757906676729,0.07534166531893983,-0.014465874651266933
48355,48,West South Central,PRIMARY,3,0.0537595795976182,0.06079406385617076,-0.007034484258552562
48371,48,West South Central,EXPANDED,3,0.0917354507926431,0.07534166531893983,0.016393785473703265
48441,48,West South Central,CENSUS_TRUST,3,0.0798158254518277,0.08011040066406447,-0.0002945752122367751
49035,49,Mountain,PRIMARY,3,0.0340894560865667,0.04846439104785183,-0.014374934961285127
49049,49,Mountain,EXPANDED,3,0.0916172000970676,0.0373529220916281,0.0542642780054395
51047,51,South Atlantic,EXPANDED,3,0.0363087853684738,0.10764052856613908,-0.07133174319766528
51061,51,South Atlantic,EXPANDED,3,0.047708569659564,0.08291924811124728,-0.035210678451683276
51087,51,South Atlantic,EXPANDED,3,0.070036227965939,0.045766167782325305,0.024270060183613697
51107,51,South Atlantic,EXPANDED,3,0.0977718471711726,0.045766167782325305,0.052005679388847294
51117,51,South Atlantic,EXPANDED,3,0.1117682569659528,0.10764052856613908,0.004127728399813721
51153,51,South Atlantic,PRIMARY,3,0.0675895373609614,0.045766167782325305,0.0218233695786361
51193,51,South Atlantic,EXPANDED,3,0.0670822073435659,0.021194798802420065,0.04588740854114584
53017,53,Pacific,CENSUS_TRUST,3,0.0441626343668042,0.03964769592284447,0.004514938443959726
53025,53,Pacific,CENSUS_TRUST,3,0.0356241764079148,0.034580819199903634,0.0010433572080111655
53051,53,Pacific,CENSUS_TRUST,3,0.1338624224939784,0.019426807284115364,0.11443561520986303
54047,54,South Atlantic,PRIMARY,3,-0.0066833311000621,0.03611440931215177,-0.04279774041221387
55101,55,East North Central,PRIMARY,3,0.0299248876547852,-0.02088000914259847,0.05080489679738367
56021,56,Mountain,PRIMARY,3,0.1124695832392788,0.030374910390924933,0.08209467284835387
